Programa,Tamaño,Hilos,Promedio,DesvEst,Min,Max,CV%,Speedup,Eficiencia
mmClasicaFork,100,1,"5,405","3,765","2,870","20,814",6965.9%,1.00,100.0%
mmClasicaFork,100,2,"4,220","3,027","2,152","15,371",7173.6%,1.28,64.0%
mmClasicaFork,100,4,"7,592","6,804","1,701","23,523",8963.0%,0.71,17.8%
mmClasicaFork,100,6,"7,103","8,360","2,232","37,747",11770.1%,0.76,12.7%
mmClasicaFork,100,8,"8,466","7,999","1,795","32,846",9447.4%,0.64,8.0%
mmClasicaFork,200,1,"30,530","6,912","19,835","50,798",2264.1%,1.00,100.0%
mmClasicaFork,200,2,"24,235","17,207","11,261","98,578",7100.0%,1.26,63.0%
mmClasicaFork,200,4,"24,603","16,610","6,065","76,168",6751.3%,1.24,31.0%
mmClasicaFork,200,6,"16,174","10,648","7,049","48,187",6583.3%,1.89,31.5%
mmClasicaFork,200,8,"16,093","7,898","5,938","37,174",4907.9%,1.90,23.7%
mmClasicaFork,400,1,"172,020","18,589","151,128","214,286",1080.6%,1.00,100.0%
mmClasicaFork,400,2,"150,531","50,878","95,499","286,258",3379.9%,1.14,57.1%
mmClasicaFork,400,4,"91,715","21,512","54,145","129,708",2345.5%,1.88,46.9%
mmClasicaFork,400,6,"71,555","15,680","45,991","110,207",2191.3%,2.40,40.1%
mmClasicaFork,400,8,"68,941","19,293","43,856","117,698",2798.4%,2.50,31.2%
mmClasicaFork,600,1,"627,067","89,113","508,712","845,526",1421.1%,1.00,100.0%
mmClasicaFork,600,2,"377,892","122,345","291,545","853,064",3237.6%,1.66,83.0%
mmClasicaFork,600,4,"781,426","352,096","348,271","2,045,931",4505.8%,0.80,20.1%
mmClasicaFork,600,6,"737,574","228,033","419,275","1,224,755",3091.7%,0.85,14.2%
mmClasicaFork,600,8,"219,225","162,703","133,308","888,670",7421.7%,2.86,35.8%
mmClasicaFork,800,1,"1,809,863","250,245","1,508,871","2,402,952",1382.7%,1.00,100.0%
mmClasicaFork,800,2,"902,137","102,479","771,098","1,299,712",1136.0%,2.01,100.3%
mmClasicaFork,800,4,"558,820","57,793","473,482","740,393",1034.2%,3.24,81.0%
mmClasicaFork,800,6,"458,369","76,602","398,901","820,521",1671.2%,3.95,65.8%
mmClasicaFork,800,8,"444,860","102,184","331,989","701,680",2297.0%,4.07,50.9%
mmClasicaFork,1000,1,"3,382,817","446,619","2,894,266","4,789,058",1320.3%,1.00,100.0%
mmClasicaFork,1000,2,"1,836,086","317,498","1,600,495","3,058,133",1729.2%,1.84,92.1%
mmClasicaFork,1000,4,"999,927","80,199","924,901","1,377,158",802.1%,3.38,84.6%
mmClasicaFork,1000,6,"831,038","60,357","733,668","1,017,118",726.3%,4.07,67.8%
mmClasicaFork,1000,8,"806,937","131,435","714,141","1,158,892",1628.8%,4.19,52.4%
mmClasicaOpenMP,100,1,736,475,410,"2,633",6454.1%,1.00,100.0%
mmClasicaOpenMP,100,2,"1,501","2,012",411,"10,919",13403.0%,0.49,24.5%
mmClasicaOpenMP,100,4,"2,041","2,278",503,"10,882",11157.1%,0.36,9.0%
mmClasicaOpenMP,100,6,"4,029","5,695",758,"22,341",14136.1%,0.18,3.0%
mmClasicaOpenMP,100,8,"13,623","10,865","1,038","42,993",7975.5%,0.05,0.7%
mmClasicaOpenMP,200,1,"8,787","4,705","4,276","20,204",5354.7%,1.00,100.0%
mmClasicaOpenMP,200,2,"5,385","4,145","2,158","20,867",7697.0%,1.63,81.6%
mmClasicaOpenMP,200,4,"6,122","6,243","1,333","29,299",10197.7%,1.44,35.9%
mmClasicaOpenMP,200,6,"4,921","2,804","2,296","12,226",5698.5%,1.79,29.8%
