Programa,Tamaño,Hilos,Promedio,DesvEst,Min,Max,CV%,Speedup,Eficiencia
mmClasicaFork,100,1,"3,621",268,"3,159","4,257",740.8%,1.00,100.0%
mmClasicaFork,100,2,"2,154",370,"1,800","3,914",1716.4%,1.68,84.1%
mmClasicaFork,100,4,"1,462",186,"1,183","1,991",1271.6%,2.48,61.9%
mmClasicaFork,100,6,"1,468",242,"1,187","2,225",1652.1%,2.47,41.1%
mmClasicaFork,100,8,"1,504",295,"1,220","2,733",1959.8%,2.41,30.1%
mmClasicaFork,100,10,"1,602",524,"1,206","4,051",3269.1%,2.26,22.6%
mmClasicaFork,100,12,"1,707",229,"1,371","2,174",1342.1%,2.12,17.7%
mmClasicaFork,200,1,"25,899","1,773","24,001","33,210",684.4%,1.00,100.0%
mmClasicaFork,200,2,"14,256",914,"12,918","16,221",640.9%,1.82,90.8%
mmClasicaFork,200,4,"7,936",712,"6,900","9,650",896.8%,3.26,81.6%
mmClasicaFork,200,6,"6,818","2,347","5,195","16,315",3441.9%,3.80,63.3%
mmClasicaFork,200,8,"4,869",890,"4,226","9,082",1827.5%,5.32,66.5%
mmClasicaFork,200,10,"4,453",607,"3,712","7,103",1364.0%,5.82,58.2%
mmClasicaFork,200,12,"5,127",545,"4,354","6,872",1062.6%,5.05,42.1%
mmClasicaFork,400,1,"192,560","3,946","186,908","203,866",204.9%,1.00,100.0%
mmClasicaFork,400,2,"96,948","1,858","94,871","104,094",191.7%,1.99,99.3%
mmClasicaFork,400,4,"52,219","2,057","48,724","58,266",393.9%,3.69,92.2%
mmClasicaFork,400,6,"37,679","1,588","35,190","40,673",421.5%,5.11,85.2%
mmClasicaFork,400,8,"29,930",792,"28,503","31,297",264.6%,6.43,80.4%
mmClasicaFork,400,10,"25,339",738,"24,137","27,318",291.2%,7.60,76.0%
mmClasicaFork,400,12,"25,111","1,387","23,233","29,900",552.2%,7.67,63.9%
mmClasicaFork,600,1,"656,622","22,754","637,899","736,573",346.5%,1.00,100.0%
mmClasicaFork,600,2,"324,856","5,354","319,258","337,418",164.8%,2.02,101.1%
mmClasicaFork,600,4,"170,064","4,266","164,941","184,672",250.9%,3.86,96.5%
mmClasicaFork,600,6,"118,451","3,635","113,182","130,667",306.9%,5.54,92.4%
mmClasicaFork,600,8,"97,539","2,473","93,598","102,456",253.5%,6.73,84.1%
mmClasicaFork,600,10,"83,274","1,523","80,603","87,193",182.9%,7.89,78.9%
mmClasicaFork,600,12,"75,909","3,946","72,060","91,696",519.8%,8.65,72.1%
mmClasicaFork,800,1,"1,716,924","110,028","1,612,940","2,124,825",640.8%,1.00,100.0%
mmClasicaFork,800,2,"798,467","16,798","780,232","854,404",210.4%,2.15,107.5%
